UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,N_HISTORICAL_PERIODS,BASELINE_STATUS,HIST_MIN_HA,HIST_MAX_HA,HIST_MEDIAN_HA,MAX_ABS_YOY_CHANGE_HA,MAX_REL_YOY_CHANGE,P25_ABS_YOY_CHANGE_HA,P50_ABS_YOY_CHANGE_HA,P75_ABS_YOY_CHANGE_HA,ZERO_ENTRY_OBSERVED,ZERO_EXIT_OBSERVED,OFFICIAL_BOUND_AVAILABLE,ADJUSTMENT_BOUND_STATUS,AUTHORIZED_LOWER_RULE,AUTHORIZED_UPPER_RULE,MODEL_BOUND_AUTHORIZED,LIMITATION,NOTES
200303,EL CARMEN DE LA FRONTERA,14010070000,MAIZ AMARILLO DURO,2,NOT_YET_FROZEN,40,48,44,8,0.166667,8,8,8,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200304,HUARMACA,14010020000,ARROZ,4,NOT_YET_FROZEN,160,218,172.5,53,0.321212,17.5,20,36.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200304,HUARMACA,14010070000,MAIZ AMARILLO DURO,5,NOT_YET_FROZEN,245,421,257,176,0.718367,6,11,93.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200305,LALAQUIZ,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200305,LALAQUIZ,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,36,47,40,7,0.175,4.75,5.5,6.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200306,SAN MIGUEL DE EL FAIQUE,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200306,SAN MIGUEL DE EL FAIQUE,14010070000,MAIZ AMARILLO DURO,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200307,SONDOR,14010020000,ARROZ,2,NOT_YET_FROZEN,0,0,0,0,,0,0,0,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200307,SONDOR,14010070000,MAIZ AMARILLO DURO,7,NOT_YET_FROZEN,0,206,145,140,1,32.5,58,75.25,FALSE,TRUE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200308,SONDORILLO,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200308,SONDORILLO,14010070000,MAIZ AMARILLO DURO,1,NOT_YET_FROZEN,135,135,135,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200401,CHULUCANAS,14010020000,ARROZ,1,NOT_YET_FROZEN,750,750,750,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200401,CHULUCANAS,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,1085,1647,1539,108,0.070175,108,108,108,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200402,BUENOS AIRES,14010020000,ARROZ,2,NOT_YET_FROZEN,666,850,758,184,0.216471,184,184,184,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200402,BUENOS AIRES,14010070000,MAIZ AMARILLO DURO,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200403,CHALACO,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200403,CHALACO,14010070000,MAIZ AMARILLO DURO,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200404,LA MATANZA,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200404,LA MATANZA,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,83,705,125,622,0.88227,622,622,622,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200405,MORROPON,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200405,MORROPON,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,25,330,306,,,,,,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200406,SALITRAL,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200406,SALITRAL,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,115,300,205,185,0.616667,185,185,185,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200407,SAN JUAN DE BIGOTE,14010020000,ARROZ,1,NOT_YET_FROZEN,1010,1010,1010,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200407,SAN JUAN DE BIGOTE,14010070000,MAIZ AMARILLO DURO,2,NOT_YET_FROZEN,170,185,177.5,15,0.088235,15,15,15,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200408,SANTA CATALINA DE MOSSA,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200408,SANTA CATALINA DE MOSSA,14010070000,MAIZ AMARILLO DURO,5,NOT_YET_FROZEN,276,325,300,45,0.138462,20.25,26.5,33,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200409,SANTO DOMINGO,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200409,SANTO DOMINGO,14010070000,MAIZ AMARILLO DURO,1,NOT_YET_FROZEN,418,418,418,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200410,YAMANGO,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200410,YAMANGO,14010070000,MAIZ AMARILLO DURO,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200502,AMOTAPE,14010020000,ARROZ,5,NOT_YET_FROZEN,500,910,500,0,0,0,0,0,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200502,AMOTAPE,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,44,64,60,20,0.454545,17,18,19,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200503,ARENAL,14010020000,ARROZ,4,NOT_YET_FROZEN,0,40,0,0,,0,0,0,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200503,ARENAL,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,40,85,79,45,0.975,40.5,42,43.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200504,COLAN,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200504,COLAN,14010070000,MAIZ AMARILLO DURO,7,NOT_YET_FROZEN,200,755,422,222,0.7,65,171,210.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200505,LA HUACA,14010020000,ARROZ,2,NOT_YET_FROZEN,1600,1720,1660,,,,,,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200505,LA HUACA,14010070000,MAIZ AMARILLO DURO,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200506,TAMARINDO,14010020000,ARROZ,5,NOT_YET_FROZEN,1000,1250,1200,200,0.166667,25,50,125,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200506,TAMARINDO,14010070000,MAIZ AMARILLO DURO,9,NOT_YET_FROZEN,0,33,2,33,1,0,2.5,6.25,TRUE,TRUE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200507,VICHAYAL,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200507,VICHAYAL,14010070000,MAIZ AMARILLO DURO,5,NOT_YET_FROZEN,40,105,88,65,0.619048,21.5,30,47.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200601,SULLANA,14010020000,ARROZ,7,NOT_YET_FROZEN,2450,4025,3290,1575,0.391304,400,850,1050,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200601,SULLANA,14010070000,MAIZ AMARILLO DURO,6,NOT_YET_FROZEN,55,147,92.5,92,1.672727,45.25,52.5,66.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
